Font	Codepoints	Glyphs	GSUB_Lookup_Count
fonts/eLabFTWNotoA-Bold.ttf	43751	65480	158
fonts/eLabFTWNotoA-Regular.ttf	43751	65480	158
fonts/eLabFTWNotoAncient.ttf	19339	34793	1616
fonts/eLabFTWNotoB-Bold.ttf	13425	15116	52
fonts/eLabFTWNotoB-Regular.ttf	13425	15116	52
fonts/eLabFTWNotoBoldItalic.ttf	2964	3897	48
fonts/eLabFTWNotoItalic.ttf	2964	3897	48
fonts/eLabFTWNotoMono.ttf	3490	3920	38
fonts/eLabFTWNotoMonoBold.ttf	3490	3920	38
cache/NotoEmoji-Bold.ttf	1489	1887	6
cache/NotoEmoji-Regular.ttf	1489	1887	6
cache/NotoEmoji1000em-Bold.ttf	1494	1887	6
cache/NotoEmoji1000em-Regular.ttf	1494	1887	6
cache/NotoSans-Bold.ttf	2965	3884	48
cache/NotoSans-BoldItalic.ttf	2964	3897	48
cache/NotoSans-Italic.ttf	2964	3897	48
cache/NotoSans-Regular.ttf	2965	3884	48
cache/NotoSansAnatolianHieroglyphs-Regular.ttf	588	589	0
cache/NotoSansArabic-Regular.ttf	1251	1399	40
cache/NotoSansArabic-SemiBold.ttf	1251	1399	40
cache/NotoSansArabicSubset-Regular.ttf	536	582	33
cache/NotoSansArabicSubset-SemiBold.ttf	536	582	33
cache/NotoSansArmenian-Bold.ttf	105	108	1
cache/NotoSansArmenian-Regular.ttf	105	108	1
cache/NotoSansAvestan-Regular.ttf	71	76	1
cache/NotoSansBamum-Regular.ttf	662	663	0
cache/NotoSansBhaiksuki-Regular.ttf	103	863	38
cache/NotoSansBrahmi-Regular.ttf	123	271	9
cache/NotoSansCJKjp-Bold.otf	44810	65535	56
cache/NotoSansCJKjp-Regular.otf	44810	65535	56
cache/NotoSansCJKjpSubset-Bold.otf	1014	1382	13
cache/NotoSansCJKjpSubset-Bold.ttf	1014	1382	13
cache/NotoSansCJKjpSubset-Regular.otf	1014	1382	13
cache/NotoSansCJKjpSubset-Regular.ttf	1014	1382	13
cache/NotoSansCJKkr-Bold.otf	44810	65535	52
cache/NotoSansCJKkr-Regular.otf	44810	65535	52
cache/NotoSansCJKkrFull-Bold.otf	11623	13480	28
